model,subfield,total_items,avg_k,fcgi_valid,comp_S,comp_A,comp_U,comp_L,comp_O,comp_F,comp_C,comp_D
gpt-gpt-5-nano-2025-08-07_exp1,Mathematics,1006,2.918489065606,0.9870709757,1.0,1.0,1.0,1.0,0.9314115308151093,1.0,1.0,0.993355967574276
gpt-gpt-5-nano-2025-08-07_exp1,Computer and Information Sciences,1143,2.932633420822,0.985772353426,1.0,1.0,1.0,1.0,0.9238845144356955,1.0,1.0,0.9954617440099078
gpt-gpt-5-nano-2025-08-07_exp1,Physical Sciences,896,2.8984375,0.988577337253,1.0,1.0,1.0,1.0,0.9408482142857143,1.0,1.0,0.98968505859375
gpt-gpt-5-nano-2025-08-07_exp1,Chemical Sciences,1031,2.768186226964,0.977444475304,1.0,1.0,1.0,1.0,0.903976721629486,1.0,1.0,0.946262374630866
gpt-gpt-5-nano-2025-08-07_exp1,Earth and Related Environmental Sciences,1269,2.851063829787,0.984831973874,1.0,1.0,1.0,1.0,0.9267139479905437,1.0,1.0,0.977818017202354
gpt-gpt-5-nano-2025-08-07_exp1,Biological Sciences,991,2.875882946519,0.992198794891,1.0,1.0,1.0,1.0,0.9626639757820383,1.0,1.0,0.9845949570351122
gpt-gpt-5-nano-2025-08-07_exp1,Other Natural Sciences,1044,2.914750957854,0.988239908995,1.0,1.0,1.0,1.0,0.9377394636015326,1.0,1.0,0.9927326008132588
gpt-gpt-5-mini_exp1,Mathematics,818,2.652811735941,0.975711852411,1.0,1.0,1.0,1.0,0.9327628361858191,0.9828850855745721,0.9987775061124694,0.8794603092999204
gpt-gpt-5-mini_exp1,Computer and Information Sciences,641,2.917316692668,0.997582720723,1.0,1.0,1.0,1.0,0.9890795631825273,1.0,1.0,0.9931634706885936
gpt-gpt-5-mini_exp1,Physical Sciences,886,2.778781038375,0.989545327531,1.0,1.0,1.0,1.0,0.9661399548532731,0.9966139954853274,0.9932279909706546,0.9510621710174321
gpt-gpt-5-mini_exp1,Chemical Sciences,772,2.860103626943,0.994586591035,1.0,1.0,1.0,1.0,0.9805699481865285,0.9896373056994818,1.0,0.9804290048054981
gpt-gpt-5-mini_exp1,Earth and Related Environmental Sciences,837,2.898446833931,0.998430473429,1.0,1.0,1.0,1.0,0.996415770609319,0.997610513739546,1.0,0.9896869544613022
gpt-gpt-5-mini_exp1,Biological Sciences,701,2.751783166904,0.993576749304,1.0,1.0,1.0,1.0,0.9957203994293866,0.9957203994293866,1.0,0.9383884037680021
gpt-gpt-5-mini_exp1,Other Natural Sciences,768,2.877604166667,0.998184807721,1.0,1.0,1.0,1.0,0.9973958333333334,0.9973958333333334,1.0,0.9850192599826388
gpt-gpt-5-mini_exp1,Civil Engineering,693,2.92784992785,0.999322581464,1.0,1.0,1.0,1.0,0.9985569985569985,1.0,1.0,0.9947943670887394
gpt-4o_exp1,Mathematics,1151,2.880973066898,0.995972265158,1.0,1.0,1.0,1.0,0.9869678540399652,0.9860990443092963,0.998262380538662,0.9858325891964151
gpt-4o_exp1,Computer and Information Sciences,1311,2.880244088482,0.998497299025,1.0,1.0,1.0,1.0,0.9984744469870328,0.9992372234935164,1.0,0.9856585216565109
gpt-4o_exp1,Physical Sciences,1350,2.963703703704,0.998412369017,1.0,1.0,1.0,1.0,0.9925925925925926,0.9955555555555555,0.9977777777777778,0.9986825788751714
gpt-4o_exp1,Chemical Sciences,1214,2.967874794069,0.998843162351,1.0,1.0,1.0,1.0,0.9942339373970346,0.9975288303130149,1.0,0.9989679711439032
gpt-4o_exp1,Earth and Related Environmental Sciences,1324,3.000755287009,0.999589795616,1.0,1.0,1.0,1.0,0.9977341389728097,0.9992447129909365,1.0,0.999999429541534
gpt-4o_exp1,Biological Sciences,1148,2.998257839721,0.999508367117,1.0,1.0,1.0,1.0,0.9973867595818815,0.9991289198606271,0.9991289198606271,0.9999969648775632
gpt-4o_exp1,Other Natural Sciences,1158,2.965457685665,0.999502622319,1.0,1.0,1.0,1.0,0.9991364421416234,0.9939550949913645,1.0,0.9988068285203779
gpt-4o_exp1,Civil Engineering,1313,2.979436405179,0.999198982376,1.0,1.0,1.0,1.0,0.9954303122619954,1.0,1.0,0.9995771385680369
gpt-5.1-2025-11-13_exp1,Mathematics,828,2.897342995169,0.984219488811,1.0,1.0,1.0,1.0,0.9190821256038647,0.9975845410628019,1.0,0.9894615393591449
gpt-5.1-2025-11-13_exp1,Computer and Information Sciences,1153,2.986123156982,0.996507476637,1.0,1.0,1.0,1.0,0.9800520381613183,0.9982653946227233,1.0,0.9998074332278478
gpt-5.1-2025-11-13_exp1,Physical Sciences,1097,2.950774840474,0.994113283845,1.0,1.0,1.0,1.0,0.96718322698268,1.0,1.0,0.9975768836696418
gpt-5.1-2025-11-13_exp1,Chemical Sciences,1107,2.93044263776,0.994089511009,1.0,1.0,1.0,1.0,0.9683830171635049,0.999096657633243,1.0,0.9951617733581732
gpt-5.1-2025-11-13_exp1,Earth and Related Environmental Sciences,1150,3.0,0.99823907144,1.0,1.0,1.0,1.0,0.9895652173913043,1.0,1.0,1.0
